city,date,temperature_avg,temperature_min,temperature_max,precipitation,snow,wind_speed,humidity
Antananarivo,2021-10-29,17.0,14.4,21.9,2.8,0.0,11.2,0.0
Antananarivo,2025-03-25,22.2,18.0,29.4,7.1,0.0,11.4,0.0
Antananarivo,2020-07-20,13.5,10.0,19.0,0.0,0.0,18.2,0.0
Antananarivo,2023-05-09,16.9,13.0,22.7,1.2,0.0,12.8,0.0
Antananarivo,2022-11-21,20.3,15.6,26.9,2.4,0.0,11.7,0.0
Antananarivo,2020-12-06,22.3,18.0,29.2,0.0,0.0,13.5,0.0
Antananarivo,2022-08-11,13.0,9.7,17.4,0.0,0.0,18.3,0.0
Antananarivo,2022-08-08,13.2,6.6,20.0,0.0,0.0,12.1,0.0
Antananarivo,2021-08-31,17.6,12.8,23.3,0.1,0.0,9.7,0.0
Antananarivo,2022-03-06,20.6,17.1,25.3,0.4,0.0,16.0,0.0
Antananarivo,2021-12-13,19.7,14.7,26.5,2.6,0.0,12.7,0.0
Antananarivo,2022-07-08,14.2,11.3,18.5,0.0,0.0,18.3,0.0
Antananarivo,2022-05-11,15.7,8.1,23.4,0.0,0.0,6.7,0.0
Antananarivo,2020-05-27,17.1,10.0,26.0,0.0,0.0,7.7,0.0
Antananarivo,2023-11-05,19.1,16.4,24.0,2.2,0.0,16.3,0.0
Antananarivo,2021-04-10,19.3,14.9,24.6,0.6,0.0,7.6,0.0
Antananarivo,2024-07-09,15.4,10.0,28.0,0.0,0.0,7.0,0.0
Antananarivo,2021-08-09,14.8,9.8,21.6,0.0,0.0,6.4,0.0
Antananarivo,2024-09-27,19.1,12.0,28.0,0.0,0.0,13.2,0.0
Antananarivo,2021-05-27,15.8,11.0,21.5,0.0,0.0,5.8,0.0
Antananarivo,2020-12-12,19.6,16.0,23.0,0.0,0.0,14.6,0.0
Antananarivo,2020-02-23,21.1,18.8,26.1,37.1,0.0,7.3,0.0
Antananarivo,2023-09-30,18.7,11.9,26.9,0.0,0.0,10.1,0.0
Antananarivo,2022-10-14,16.6,11.3,22.8,0.0,0.0,16.7,0.0
Antananarivo,2025-05-05,19.2,16.0,25.0,1.7,0.0,13.4,0.0
Antananarivo,2023-03-17,20.0,15.7,26.1,0.6,0.0,8.7,0.0
Antananarivo,2020-11-08,21.8,14.0,31.0,0.0,0.0,14.2,0.0
Antananarivo,2022-02-21,20.7,15.0,26.9,2.1,0.0,16.2,0.0
Antananarivo,2021-12-12,20.1,14.8,26.0,0.0,0.0,12.8,0.0
Antananarivo,2024-02-03,20.3,17.3,24.7,0.8,0.0,17.7,0.0
Antananarivo,2021-01-10,21.1,15.2,28.7,1.0,0.0,6.6,0.0
Antananarivo,2022-06-01,14.8,10.1,21.4,0.0,0.0,5.9,0.0
Antananarivo,2021-01-18,23.1,18.0,28.5,0.7,0.0,5.9,0.0
Antananarivo,2023-06-23,15.3,10.4,20.9,0.0,0.0,9.4,0.0
Antananarivo,2024-06-25,14.7,11.0,21.0,0.0,0.0,16.7,0.0
Antananarivo,2024-03-24,20.5,16.9,26.1,1.5,0.0,17.6,0.0
Antananarivo,2022-04-21,20.2,17.7,24.1,0.9,0.0,17.4,0.0
Antananarivo,2020-03-25,20.8,15.0,27.0,0.0,0.0,8.3,0.0
Antananarivo,2020-02-26,20.5,18.0,24.0,0.0,0.0,11.1,0.0
Antananarivo,2020-05-19,15.3,11.0,22.6,0.0,0.0,11.7,0.0
Antananarivo,2024-08-20,14.4,9.8,21.5,0.0,0.0,18.3,0.0
Antananarivo,2021-07-25,13.6,11.2,17.1,0.2,0.0,21.1,0.0
Antananarivo,2024-09-26,18.4,11.0,26.0,0.0,0.0,13.9,0.0
Antananarivo,2020-09-15,16.7,8.7,26.0,0.0,0.0,11.7,0.0
Antananarivo,2025-05-30,16.5,13.0,22.0,0.0,0.0,14.1,0.0
Antananarivo,2021-06-19,14.0,9.9,20.4,0.0,0.0,12.2,0.0
Antananarivo,2020-04-27,20.4,17.0,26.5,0.0,0.0,10.8,0.0
Antananarivo,2023-10-27,20.9,16.9,26.9,0.8,0.0,9.7,0.0
Antananarivo,2020-03-20,20.4,18.0,26.5,5.1,0.0,8.6,0.0
Antananarivo,2024-07-04,16.0,12.0,22.0,0.0,0.0,7.8,0.0
Antananarivo,2022-04-26,17.9,12.0,23.7,0.0,0.0,7.6,0.0
Antananarivo,2022-08-09,13.4,8.9,17.6,0.0,0.0,16.2,0.0
Antananarivo,2023-03-10,18.9,17.5,23.7,37.8,0.0,7.5,0.0
Antananarivo,2024-10-20,21.1,17.0,30.4,6.9,0.0,15.6,0.0
Antananarivo,2023-01-14,19.7,17.0,24.1,3.1,0.0,15.7,0.0
Antananarivo,2022-05-26,18.2,13.0,27.0,0.0,0.0,5.6,0.0
Antananarivo,2022-06-09,15.4,12.6,19.7,0.9,0.0,12.8,0.0
Antananarivo,2025-02-11,23.6,19.0,30.0,11.4,0.0,8.0,0.0
Antananarivo,2023-02-20,20.9,17.0,26.4,0.0,0.0,11.6,0.0
Antananarivo,2023-02-19,21.7,17.7,27.4,0.1,0.0,9.6,0.0
Antananarivo,2021-01-13,22.5,17.1,28.8,4.1,0.0,5.9,0.0
