city,date,temperature_avg,temperature_min,temperature_max,precipitation,snow,wind_speed,humidity
Cape Town,2022-12-09,20.2,17.4,23.3,0.0,0.0,18.4,0.0
Cape Town,2023-12-03,18.5,13.2,23.0,0.0,0.0,13.5,0.0
Cape Town,2022-07-16,16.0,11.1,24.2,0.0,0.0,8.5,0.0
Cape Town,2022-11-30,18.6,15.4,23.0,0.0,0.0,12.0,0.0
Cape Town,2020-03-03,23.0,16.0,32.0,0.0,0.0,10.2,0.0
Cape Town,2025-01-13,22.5,15.0,29.7,0.0,0.0,17.8,0.0
Cape Town,2020-11-23,16.7,13.5,21.9,0.0,0.0,18.5,0.0
Cape Town,2021-04-26,17.2,14.6,21.5,1.8,0.0,18.8,0.0
Cape Town,2021-05-22,11.0,6.5,16.3,0.0,0.0,7.2,0.0
Cape Town,2022-01-06,21.0,14.2,27.4,0.0,0.0,18.5,0.0
Cape Town,2023-09-18,12.0,6.4,17.3,0.4,0.0,9.5,0.0
Cape Town,2022-12-15,23.1,19.4,26.5,0.0,0.0,28.3,0.0
Cape Town,2020-09-21,13.3,9.0,17.3,0.0,0.0,20.1,0.0
Cape Town,2023-12-31,24.2,19.6,29.4,0.0,0.0,31.0,0.0
Cape Town,2024-08-26,13.6,11.5,15.6,11.9,0.0,35.0,0.0
Cape Town,2020-04-10,17.6,14.0,23.0,0.0,0.0,10.5,0.0
Cape Town,2021-11-26,21.8,16.3,28.3,24.8,0.0,13.8,0.0
Cape Town,2021-11-01,15.1,10.6,17.3,3.5,0.0,19.3,0.0
Cape Town,2022-01-27,20.5,15.3,25.6,0.0,0.0,19.7,0.0
Cape Town,2023-08-22,13.1,11.6,15.4,14.1,0.0,37.7,0.0
Cape Town,2023-04-07,16.1,14.8,18.1,2.7,0.0,16.2,0.0
Cape Town,2022-04-26,15.8,13.0,20.6,0.0,0.0,25.0,0.0
Cape Town,2023-03-13,19.1,14.4,24.6,0.0,0.0,27.5,0.0
Cape Town,2021-01-02,22.9,15.8,30.9,0.0,0.0,23.1,0.0
Cape Town,2023-01-09,20.8,16.2,26.4,0.0,0.0,14.1,0.0
Cape Town,2022-06-23,13.5,11.8,15.4,13.6,0.0,15.3,0.0
Cape Town,2022-01-14,25.1,18.6,31.7,0.0,0.0,10.5,0.0
Cape Town,2024-06-06,13.1,11.7,15.7,8.3,0.0,16.2,0.0
Cape Town,2023-10-30,17.2,6.6,26.6,0.0,0.0,21.4,0.0
Cape Town,2020-03-24,19.3,15.7,24.0,0.0,0.0,21.7,0.0
Cape Town,2021-05-21,13.3,10.5,15.6,4.6,0.0,12.9,0.0
Cape Town,2024-08-13,11.4,6.4,15.4,21.1,0.0,26.2,0.0
